Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-12-12 08:00:00,16258.0,16281.25,16257.25,16262.0,5642
2023-12-12 09:00:00,16269.5,16270.25,16252.0,16258.25,3340
2023-12-12 10:00:00,16255.75,16268.25,16253.0,16268.25,3596
2023-12-12 11:00:00,16254.5,16264.75,16252.75,16255.5,2632
2023-12-12 12:00:00,16280.0,16285.5,16253.75,16254.25,5675
2023-12-12 13:00:00,16241.0,16345.0,16232.75,16279.5,22597
2023-12-12 14:00:00,16255.5,16257.5,16185.25,16240.25,43593
2023-12-12 15:00:00,16286.5,16288.25,16243.5,16256.0,34739
2023-12-12 16:00:00,16275.25,16307.0,16270.0,16286.5,21828
2023-12-12 17:00:00,16286.5,16292.0,16254.5,16275.5,21581
2023-12-12 18:00:00,16318.5,16322.0,16279.25,16286.25,18430
2023-12-12 19:00:00,16336.0,16338.5,16311.0,16318.0,14560
2023-12-12 20:00:00,16365.0,16366.75,16331.25,16336.5,23262
2023-12-12 21:00:00,16386.0,16389.5,16361.0,16364.25,5619
2023-12-12 23:00:00,16396.0,16401.25,16378.0,16383.0,0
2023-12-13 00:00:00,16392.5,16397.5,16384.25,16395.75,1266
2023-12-13 01:00:00,16392.0,16395.75,16386.75,16391.5,992
2023-12-13 02:00:00,16389.75,16395.75,16386.5,16391.25,528
2023-12-13 03:00:00,16390.5,16391.5,16386.5,16391.0,516
2023-12-13 04:00:00,16394.75,16396.5,16387.75,16390.0,951
2023-12-13 05:00:00,16393.0,16399.5,16389.0,16395.5,579
2023-12-13 06:00:00,16386.0,16396.25,16383.0,16393.5,552
2023-12-13 07:00:00,16395.75,16404.0,16381.5,16384.0,1286
2023-12-13 08:00:00,16396.75,16406.0,16384.0,16395.75,1749
2023-12-13 09:00:00,16388.25,16397.75,16386.5,16396.75,1596
2023-12-13 10:00:00,16387.5,16393.5,16382.25,16389.5,1638
2023-12-13 11:00:00,16400.5,16402.75,16385.25,16387.5,1699
2023-12-13 12:00:00,16395.25,16403.5,16392.0,16399.5,1883
2023-12-13 13:00:00,16419.75,16429.75,16393.75,16395.25,4746
2023-12-13 14:00:00,16399.75,16446.5,16386.75,16419.0,21520
